name,jenre,title,character,year
子安武人,ゲーム,ガンスリンガーストラトス,アーロン・バロウズ,2012/07/12
子安武人,アニメ,ソードアート・オンライン,オベイロン=須郷伸之,2012/07/08
子安武人,アニメ,境界線上のホライゾンII,シロジロ・ベルトーニ,2012/07/08
子安武人,アニメ,超訳百人一首 うた恋い。,藤原実方,2012/07/03
子安武人,ゲーム,ファイアーエムブレム 覚醒,ロンクー / ファウダー,2012/04/19
子安武人,アニメ,夏色キセキ,凜子の父,2012/04/06
子安武人,ゲーム,第2次スーパーロボット大戦Z 再世篇,ゼクス・マーキス(ミリアルド・ピースクラフト) / ガムリン・木崎,2012/04/05
子安武人,アニメ,映画 プリキュアオールスターズNewStage みらいのともだち,フュージョン,2012/03/17
子安武人,ゲーム,ヒーローズファンタジア,クルル曹長,2012/01/19
子安武人,ゲーム,スーパーロボット大戦OGサーガ 魔装機神Ⅱ REVELATION OF EVIL GOD,シュウ・シラカワ,2012/01/12
子安武人,アニメ,BRAVE10,伊達政宗,2012/01/08
子安武人,アニメ,エリアの騎士,堀川明人,2012/01/07
子安武人,アニメ,ハイスクールD×D,ライザー・フェニックス,2012/01/06
子安武人,アニメ,ギルティクラウン,四分儀,2011/10/14
子安武人,アニメ,機動戦士ガンダムAGE,フレデリック・アルグレアス,2011/10/09
子安武人,アニメ,英雄伝説 空の軌跡 THE ANIMATION,オリビエ・レンハイム,2011/10/09
子安武人,アニメ,ハンター×ハンター(2011年版),ダルツォルネ,2011/10/02
子安武人,アニメ,境界線上のホライゾン,シロジロ・ベルトーニ,2011/10/02
子安武人,アニメ,バクマン。2,吉田幸司,2011/10/01
子安武人,アニメ,劇場版 ハートの国のアリス ～Wonderful Wonder World～,ユリウス=モンレー,2011/07/30
子安武人,ゲーム,ノーラと刻の工房 霧の森の魔女,ユカ・ワルタネン,2011/07/21
子安武人,アニメ,輪るピングドラム,高倉剣山,2011/07/08
子安武人,アニメ,THE IDOLM@STER(アイドルマスター),黒井崇男,2011/07/08
子安武人,アニメ,Dororonえん魔くん メ～ラめら,歌手 / カパエル,2011/04/08
子安武人,ゲーム,第2次スーパーロボット大戦Z 破界篇,ゼクス・マーキス,2011/04/04
子安武人,アニメ,DOG DAYS(第1期),ロラン・マルティノッジ,2011/04/02
子安武人,ゲーム,THE IDOLM@STER2 (アイドルマスター2),黒井崇男,2011/02/24
子安武人,ゲーム,キャサリン,ジョニー,2011/02/17
子安武人,アニメ,レベルE,クラフト,2011/01/11
子安武人,アニメ,コイ☆セント,オトウト,2010/11/27
子安武人,アニメ,海月姫,花森,2010/10/15
子安武人,アニメ,もっとTo LOVEる -とらぶる-,ザスティン,2010/10/06
子安武人,アニメ,荒川アンダー ザ ブリッジ×ブリッジ (荒川アンダー ザ ブリッジ*2),シスター,2010/10/04
子安武人,ゲーム,戦国BASARA3,猿飛佐助,2010/07/29
子安武人,アニメ,戦国BASARA 弐,猿飛佐助,2010/07/11
子安武人,アニメ,世紀末オカルト学院,JK,2010/07/06
子安武人,アニメ,劇場版 銀魂 新訳紅桜篇,高杉晋助,2010/04/24
子安武人,アニメ,裏切りは僕の名前を知っている,祇王天白(ぎおうたかしろ),2010/04/12
子安武人,アニメ,荒川アンダー ザ ブリッジ,シスター,2010/04/05
子安武人,アニメ,真・恋姫†無双～乙女大乱～,于吉,2010/04/01
子安武人,アニメ,ONE PIECE FILM STRONG WORLD EPISODE:0(ワンピース フィルム ストロングワールド エピソードゼロ),クザン,2010/04
子安武人,アニメ,超劇場版ケロロ軍曹 誕生!究極ケロロ 奇跡の時空島であります!!,クルル曹長,2010/02/27
子安武人,ゲーム,クイズマジックアカデミーDS ～二つの時空石～,セリオス,2010/02/11
子安武人,ゲーム,プリンセスラバー! ～Eternal Love For My Lady～,ヴィンセント=ファン・ホッセン,2010/01/28
子安武人,アニメ,宇宙戦艦ヤマト 復活篇,シーガル館長,2009/12/12
子安武人,ゲーム,ジョーカーの国のアリス ～Wonderful Wonder World～,ユリウス,2009/10/31
子安武人,ゲーム,スーパーロボット大戦NEO,安倍晴明,2009/10/29
子安武人,アニメ,NARUTO -ナルト- THE CROSS ROADS(ザ.クロスローズ),カジカ,2009/10/12
子安武人,アニメ,真・恋姫†無双,于吉,2009/10/05
子安武人,アニメ,プリンセスラバー!,ヴィンセント=ファン・ホッセン,2009/07/06
子安武人,アニメ,NEEDLESS (ニードレス),アダム・ブレイド,2009/07/03
子安武人,アニメ,ヱヴァンゲリヲン 新劇場版:破,青葉シゲル,2009/06/27
子安武人,ゲーム,アークライズファンタジア,ヴァイス,2009/06/04
子安武人,ゲーム,Myself ; Yourself それぞれの finale,若月修輔,2009/04/30
子安武人,アニメ,メタルファイト ベイブレード,大道寺,2009/04/05
子安武人,アニメ,花咲ける青少年,クインザ・ハフェズ,2009/04/05
子安武人,アニメ,戦国BASARA,猿飛佐助,2009/04/02
子安武人,アニメ,映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合!,フュージョン,2009/03/20
子安武人,アニメ,超劇場版 ケロロ軍曹 撃侵 ドラゴンウォリアーズ であります!,クルル曹長,2009/03/07
子安武人,ゲーム,THE iDOLM@STER SP (アイドルマスターSP),黒井崇男,2009/02/19
子安武人,ゲーム,テイルズ オブ ザ ワールド レディアント マイソロジー2,ジェイド・カーティス,2009/01/29
子安武人,アニメ,スレイヤーズEVOLUTION-R,赤法師レゾ,2009/01/12
子安武人,アニメ,鋼殻のレギオス,カリアン・ロス,2009/01/11
子安武人,アニメ,MAJOR 友情の一球(ウイニングショット),本田茂治,2008/12/13
子安武人,ゲーム,恋姫†夢想～ドキッ★乙女だらけの三国志演義～,干吉,2008/11/20
子安武人,アニメ,瀬戸の花嫁 OVA,シャーク藤代,2008/11/02
子安武人,アニメ,伯爵と妖精,ケルピー,2008/10/08
子安武人,アニメ,テイルズ オブ ジ アビス,ジェイド・カーティス,2008/10/03
子安武人,アニメ,ロザリオとバンパイア CAPU2,謎こうもり,2008/10/01
子安武人,ゲーム,スーパーロボット大戦Z,•ギム・ギンガナム / ムウ・ラ・フラガ / •アスハム・ブーン,2008/09/25
子安武人,ゲーム,クイズマジックアカデミーDS,セリオス,2008/09/12
子安武人,アニメ,クイズマジックアカデミー ～オリジナルアニメーション～,セリオス,2008/09/12
子安武人,ゲーム,戦国BASARA X (クロス),猿飛佐助,2008/04/09
子安武人,アニメ,SOUL EATER - ソウルイーター -,エクスカリバー,2008/04/07
子安武人,アニメ,To LOVEる -とらぶる-,ザスティン,2008/04/03
子安武人,ゲーム,ドラマチックダンジョン サクラ大戦 ～君あるがため～,加山雄一,2008/03/19
子安武人,アニメ,超劇場版 ケロロ軍曹3 ケロロ対ケロロ 天空大決戦であります!,クルル曹長,2008/03/01
子安武人,アニメ,yes!プリキュア5GoGo!,スコルプ,2008/02/03
子安武人,アニメ,GUNSLINGER GIRL-IL TEATRINO-,ジャン,2008/01/08
子安武人,アニメ,PERSONA -trinity soul- (ペルソナ トリニティ・ソウル),神郷諒,2008/01/05
子安武人,アニメ,破天荒遊戯,セラティード,2008/01/04
子安武人,アニメ,ロザリオとバンパイア,謎こうもり,2008/01/03
子安武人,ゲーム,ハートの国のアリス～ Wonderful Wonder World ～,ユリウス=モンレー,2007/12/25
子安武人,ゲーム,Myself ; Yourself (マイセルフ ユアセルフ),若月修輔,2007/11/29
子安武人,アニメ,Myself ; Yourself (マイセルフ ユアセルフ),若月修輔,2007/10/03
子安武人,アニメ,魔人探偵脳噛ネウロ,脳噛ネウロ,2007/10/02
子安武人,ゲーム,Another Century's Episode 3 the FINAL,アスハム・ブーン,2007/09/06
子安武人,アニメ,ヱヴァンゲリヲン 新劇場版:序,青葉シゲル,2007/09/01
子安武人,アニメ,デッドガールズ,エドガー,2007/08/08
子安武人,アニメ,BACCANO! -バッカーノ-,ラック・ガンドール,2007/07/26
子安武人,アニメ,はぴはぴクローバー,旅うさぎ,2007/07/06
子安武人,アニメ,ZOMBIE-LOAN(ゾンビローン),鼈甲,2007/07/03
子安武人,ゲーム,テイルズ オブ ファンダム Vol.2,ジェイド・カーティス,2007/06/28
子安武人,ゲーム,スーパーロボット大戦OG ORlGlNAL GENERATlONS,シュウ・シラカワ,2007/06/28
子安武人,ゲーム,英雄伝説 空の軌跡 the 3rd,オリビエ,2007/06/28
子安武人,ゲーム,桜蘭高校ホスト部,藤岡涼二,2007/04/19
子安武人,アニメ,スパイダーライダーズ ～よみがえる太陽～,イグナス,2007/04/14
子安武人,アニメ,地球へ… (2007年TVシリーズ),キース・アニアン,2007/04/07
子安武人,アニメ,鋼鉄三国志,諸葛亮孔明,2007/04/05
子安武人,アニメ,サクラ大戦 ニューヨーク・紐育,加山雄一,2007/04/04
子安武人,アニメ,瀬戸の花嫁,シャーク藤代,2007/04/01
子安武人,アニメ,オシャレ魔女♥ラブandベリー しあわせのまほう,ベルル,2007/03/21
子安武人,アニメ,超劇場版 ケロロ軍曹2 深海のプリンセスであります!,クルル曹長,2007/03/17
子安武人,アニメ,Saint October ( セイントオクトーバー ),アッシュ,2007/01/05
子安武人,アニメ,スーパーロボット大戦OG ディバイン・ウォーズ,シュウ・シラカワ,2006/10/05
子安武人,アニメ,RED GARDEN - レッドガーデン -,エルヴェ,2006/10/04
子安武人,アニメ,ポケットモンスター ダイヤモンド & パール,コサブロウ,2006/09/28
子安武人,ゲーム,マブラヴ オルタネイティヴ,一文字鷹嘴 / 沙霧尚哉,2006/09/22
子安武人,ゲーム,マブラヴ,一文字鷹嘴,2006/09/22
子安武人,ゲーム,戦国BASARA2,猿飛佐助,2006/07/27
子安武人,アニメ,恋する天使 アンジェリーク 心のめざめる時 (第1期),オリヴィエ,2006/07/08
子安武人,アニメ,つよきす Cool×Sweet,伊達スバル,2006/07/02
子安武人,ゲーム,FESTA!! -HYPER GIRLS PARTY-,広原翔,2006/06/29
子安武人,ゲーム,ヴァルキリープロファイル2 -シルメリア-,レザード・ヴァレス,2006/06/22
子安武人,ゲーム,ミステリート,悪行双麻,2006/05/25
子安武人,アニメ,機神咆吼デモンベイン (TVアニメ版),ウィンフィールド,2006/05/19
子安武人,アニメ,蜜×蜜ドロップス,久喜絃青,2006/04/28
子安武人,アニメ,ザ・サード ～蒼い瞳の少女～,浄眼機,2006/04/14
子安武人,アニメ,彩雲国物語,琳千夜 / 茶朔洵,2006/04/08
